,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,0.965718382,0.830567743,0.857923672,0.8782504,0.864867527,0.852894775,0.863875193,0.951557906,0.894022356,0.918603391,0.851737576,0.861746596,0.854026516,0.859251099,0.829381873,0.869170691,0.826448728,0.874238249,0.831703415,0.877548772,0.854829324,0.82910426,0.846181304,0.838423131,0.867131802,0.836822954,0.875034945,0.867824792,0.852469281
1,0.965718382,1,0.943861443,0.9608425,0.972095047,0.964592669,0.95754767,0.964236459,0.888908134,0.979640904,0.9891642,0.957234244,0.96259739,0.958569716,0.961706332,0.94323606,0.967278158,0.941262552,0.969996056,0.944724207,0.96977544,0.958366871,0.943076812,0.953983622,0.949135124,0.96620804,0.9481013,0.969960299,0.96601875,0.957602905
2,0.830567743,0.943861443,1,0.997935377,0.992945086,0.997054209,0.998886738,0.996923852,0.757794881,0.986665757,0.973493939,0.998739565,0.997834553,0.998476726,0.997584419,0.999996644,0.995531423,0.999967274,0.994215266,0.999989837,0.995862411,0.998843612,0.999995326,0.999232606,0.999780017,0.995884034,0.999854562,0.995274414,0.996813293,0.998712987
3,0.857923672,0.9608425,0.997935377,1,0.998510446,0.999903072,0.999824987,0.999898692,0.775161235,0.995080421,0.986107456,0.999899513,0.999934673,0.999958415,0.999983679,0.997873241,0.999540226,0.997393502,0.999060378,0.998180848,0.998713824,0.999746492,0.997850426,0.999670209,0.999038043,0.999645585,0.998860173,0.999375401,0.999806008,0.999908313
4,0.8782504,0.972095047,0.992945086,0.998510446,1,0.999077105,0.997376664,0.999182333,0.787175539,0.998999759,0.993614744,0.997642672,0.998471815,0.997974066,0.998779371,0.99283423,0.999704108,0.991973083,0.999936246,0.99340785,0.997879869,0.997265841,0.992793193,0.996801564,0.995169423,0.999600058,0.994777641,0.999612736,0.999101067,0.997680836
5,0.864867527,0.964592669,0.997054209,0.999903072,0.999077105,1,0.99955738,0.999982915,0.78195534,0.996211163,0.988166918,0.999620345,0.999919232,0.999745586,0.999935191,0.996965055,0.999804461,0.996405465,0.999489503,0.997334554,0.999091682,0.999517852,0.996935785,0.999235673,0.998381376,0.999850476,0.998157975,0.999768571,0.999973679,0.999646206
6,0.852894775,0.95754767,0.998886738,0.999824987,0.997376664,0.99955738,1,0.999483107,0.774494099,0.993187613,0.983187009,0.999961662,0.999822835,0.999937625,0.999702692,0.998825422,0.998825995,0.998473814,0.998123166,0.999049561,0.998640955,0.999975236,0.998805854,0.999911876,0.999603349,0.998986758,0.999496631,0.998744607,0.999464002,0.999970735
7,0.863875193,0.964236459,0.996923852,0.999898692,0.999182333,0.999982915,0.999483107,1,0.779263697,0.996386581,0.988367825,0.999596857,0.999854942,0.999727452,0.99995356,0.996846033,0.999866719,0.996268045,0.999572799,0.997223329,0.998846259,0.999404931,0.99681779,0.999205017,0.998313261,0.99991532,0.998080209,0.999743261,0.99992615,0.999615368
8,0.951557906,0.888908134,0.757794881,0.775161235,0.787175539,0.78195534,0.774494099,0.779263697,1,0.797235713,0.817391121,0.770757221,0.781840831,0.772466215,0.775115438,0.756143683,0.781484481,0.754530738,0.784844251,0.75778182,0.805679785,0.778301528,0.755822889,0.766230885,0.761402273,0.779555193,0.760508273,0.79144568,0.786283348,0.771797509
9,0.894022356,0.979640904,0.986665757,0.995080421,0.998999759,0.996211163,0.993187613,0.996386581,0.797235713,1,0.997624542,0.993582361,0.995101561,0.994138774,0.995574607,0.986507303,0.997619097,0.985339256,0.99843556,0.987298133,0.995151615,0.993073709,0.986450493,0.992233609,0.989788552,0.997337113,0.989223833,0.997641918,0.996354633,0.993649438
